group,names,scores,logfoldchanges,pvals,pvals_adj
0,Xelaev18045082m.g,56.157513,7.8591623,0.0,0.0
0,Xelaev18047452m.g,56.122116,7.8867326,0.0,0.0
0,Xelaev18047453m.g,55.974503,7.859139,0.0,0.0
0,Xelaev18047460m.g,55.818314,6.766466,0.0,0.0
0,Xelaev18045095m.g,54.74742,5.9736524,0.0,0.0
0,Xelaev18045083m.g,54.07144,5.970585,0.0,0.0
0,Xelaev18045096m.g,53.25602,5.8341064,0.0,0.0
0,urod.L,51.79617,3.545298,0.0,0.0
0,Xelaev18045084m.g,51.659122,5.661171,0.0,0.0
0,tmem14c.L,50.540165,2.375431,0.0,0.0
0,alad.L,46.607735,3.5009005,0.0,0.0
0,loc548390.like.S,45.47972,3.7092712,0.0,0.0
0,uros.S,45.45722,4.156949,0.0,0.0
0,sptb.L,43.92787,2.9514372,0.0,0.0
0,loc100498230.L,43.18124,3.2110012,0.0,0.0
0,slc39a8.S,42.807743,3.1462116,0.0,0.0
0,Xelaev18047462m.g,42.313236,4.174713,0.0,0.0
0,slc4a1.L,42.287945,2.974134,0.0,0.0
0,urod.S,41.481075,2.5891652,0.0,0.0
0,Xelaev18047464m.g,40.892296,4.783239,0.0,0.0
0,loc100498230.S,39.550205,2.5829082,0.0,0.0
0,tspo.L,39.475933,2.0182085,0.0,0.0
0,Xelaev18036120m.g,39.232155,2.2397077,0.0,0.0
0,loc101730908.S,39.000977,3.2929757,0.0,0.0
0,kiaa0101.L,37.373886,2.6848347,1.0380151858842862e-305,8.761517856080076e-303
0,hbd.L,37.122593,4.400731,1.2140175750430557e-301,9.626055717750484e-299
0,steap3.L,36.248753,2.5049272,1.0397597257682793e-287,7.773243709843657e-285
0,Xelaev18036119m.g,36.096004,2.0510333,2.6200534331207918e-285,1.9043421703066288e-282
0,Xelaev18015173m.g,35.937428,2.637971,7.955441351148302e-283,5.626002118760715e-280
0,Xelaev18047455m.g,35.926956,4.131093,1.1593626864383323e-282,7.983127382459317e-280
0,blvra.L,35.788013,3.399809,1.696597287293427e-280,1.1382862722902515e-277
0,loc100486734.like.L,35.44904,2.8134272,3.001308436132136e-275,1.9154204034105727e-272
0,blvrb.L,34.77845,2.1114767,5.151063898110223e-265,2.995171954621158e-262
0,prdx2.L,34.642757,3.1814363,5.7418956904117605e-263,3.1966477156449813e-260
0,Xelaev18020619m.g,34.425076,2.2791598,1.0630582559849019e-259,5.676731086959376e-257
0,Xelaev18045098m.g,34.200123,4.491773,2.407910149205057e-256,1.2601075392819904e-253
0,fam132b.L,33.95952,2.1494691,8.826304426790711e-253,4.4413284929116494e-250
0,hba1.S,33.88954,4.1566324,9.498662055936863e-252,4.68947153501215e-249
0,lmo2.S,33.830902,2.133082,6.930001197459623e-251,3.357970580235713e-248
0,slc25a37.L,33.67531,3.4735534,1.32901907142541e-248,6.322747822348595e-246
0,rhd.S,33.6299,2.1888282,6.134398283393821e-248,2.866297597915763e-245
0,alad.S,33.594162,2.5299866,2.041479689715042e-247,9.37146623878663e-245
0,dck.2.L,33.55471,2.5551572,7.686065903772284e-247,3.46747586962251e-244
0,aars.L,33.3535,2.1373086,6.480977022616804e-244,2.826354079563188e-241
0,slc4a1.S,33.332787,2.7204578,1.293844752466639e-243,5.5499576709905035e-241
0,rrm2.2.S,33.196598,2.3834593,1.205450446887437e-241,5.087389740847852e-239
0,eif5b.L,33.14155,3.1261926,7.496613689157332e-241,3.1135935522300124e-238
0,Xelaev18023103m.g,32.721092,2.6185877,7.829255099379507e-235,3.1039437716721847e-232
0,slc29a1.L,32.520287,4.4885015,5.5102249541742796e-232,2.151948450013794e-229
0,kiaa0101.S,31.891542,2.275521,3.497668998266339e-223,1.28901418322024e-220
0,Xelaev18018228m.g,31.888498,2.172226,3.8547513115044665e-223,1.4008808724559148e-220
0,pcna.S,31.328133,1.8592957,1.9319862464373013e-215,6.65162527951032e-213
0,anp32e.L,30.885542,1.5656332,1.8678512074184293e-209,6.186606923203876e-207
0,mki67.L,30.64186,2.0031705,3.3924728119030835e-206,1.0958943653858775e-203
0,c19orf12.S,30.563683,2.459856,3.7207469036258494e-205,1.1729766684370359e-202
0,impdh1.S,30.517292,2.4771779,1.5366967901945543e-204,4.786810501456037e-202
