group,names,scores,logfoldchanges,pvals,pvals_adj
0,lum.L,46.78163,6.5304565,0.0,0.0
0,loc101734526.L,46.46776,6.0019,0.0,0.0
0,loc100049121.S,46.121555,5.7593994,0.0,0.0
0,s100a11.L,46.043816,4.50367,0.0,0.0
0,fgfbp2.L,45.99507,5.4784484,0.0,0.0
0,mdk.L,45.844772,4.7549944,0.0,0.0
0,col1a1.L,45.74475,6.406148,0.0,0.0
0,lum.S,45.711494,5.9459634,0.0,0.0
0,col17a1.L,45.679607,5.518177,0.0,0.0
0,mdk.S,45.51033,4.9073834,0.0,0.0
0,c2orf40.L,45.477154,5.4478774,0.0,0.0
0,apoe.S,45.40888,5.6942663,0.0,0.0
0,epcam.L,45.06186,4.520935,0.0,0.0
0,col1a1.S,45.010597,6.261631,0.0,0.0
0,col1a2.L,44.929737,3.678458,0.0,0.0
0,postn.S,44.87295,5.5779586,0.0,0.0
0,col11a1.like.L,44.4263,4.8358717,0.0,0.0
0,col1a2.S,44.179016,5.249396,0.0,0.0
0,jun.S,44.163986,3.5689423,0.0,0.0
0,postn.L,44.09064,5.607913,0.0,0.0
0,apoc1.like.L,43.71071,6.087867,0.0,0.0
0,pfn1.L,43.435226,3.511155,0.0,0.0
0,ogn.L,43.248524,5.289424,0.0,0.0
0,kera.L,43.112255,4.8434877,0.0,0.0
0,lamb4.L,42.729492,4.6519237,0.0,0.0
0,pfn1.S,42.724907,2.5281346,0.0,0.0
0,Xelaev18010117m.g,42.710476,4.308427,0.0,0.0
0,egfl6.S,42.647713,4.8390465,0.0,0.0
0,jun.L,42.580135,3.3798683,0.0,0.0
0,col4a5.L,42.419197,4.5970936,0.0,0.0
0,dcn.L,42.05206,4.646032,0.0,0.0
0,plec.L,41.935627,3.3716176,0.0,0.0
0,btg2.S,41.731052,3.3653991,0.0,0.0
0,apoe.L,41.698486,4.7074957,0.0,0.0
0,lgals4.L,41.64686,4.4538774,0.0,0.0
0,fos.S,41.600792,3.3289092,0.0,0.0
0,col14a1.L,41.595325,4.439027,0.0,0.0
0,fos.L,41.363537,3.4226112,0.0,0.0
0,cldn7.L,41.29628,3.7594402,0.0,0.0
0,nccrp1.L,41.190773,3.9753501,0.0,0.0
0,Xelaev18045537m.g,40.93511,4.2112803,0.0,0.0
0,ier2.S,40.87634,3.0899086,0.0,0.0
0,junb.L,40.858562,2.5377448,0.0,0.0
0,cldn1.L,40.809757,4.426372,0.0,0.0
0,epcam.S,40.34459,3.9077477,0.0,0.0
0,dcn.S,40.295357,4.356151,0.0,0.0
0,sparc.L,40.277283,3.7689905,0.0,0.0
0,loc100497018.L,40.225838,3.812371,0.0,0.0
0,mmp8.S,40.14409,5.149805,0.0,0.0
0,id3.S,40.051765,3.6030974,0.0,0.0
0,myl6.S,40.01526,2.264453,0.0,0.0
0,Xelaev18045052m.g,39.731667,2.870717,0.0,0.0
0,sparc.S,39.55711,3.993446,0.0,0.0
0,krt12.L,39.50476,4.8912425,0.0,0.0
0,col5a3.like.L,39.367928,4.1823745,0.0,0.0
0,itgb4.L,39.247192,4.148182,0.0,0.0
0,myh9.S,39.01287,3.0484083,0.0,0.0
0,egr1.L,38.817318,2.9731998,0.0,0.0
0,ly6g6c.L,38.79574,4.6843004,0.0,0.0
0,azin2.S,38.730873,3.4618778,0.0,0.0
0,col5a3.like.S,38.65242,3.7952526,0.0,0.0
0,frem2.L,38.60231,4.219594,0.0,0.0
0,krt12.S,38.472996,4.447121,0.0,0.0
0,ier2.L,38.45687,2.8007596,0.0,0.0
0,Xelaev18016080m.g,38.25504,5.224324,0.0,0.0
0,MGC84172.L,38.17085,3.5728204,0.0,0.0
0,Xelaev18047430m.g,38.128735,2.649475,0.0,0.0
0,anxa1.S,38.055706,3.2356694,0.0,0.0
0,loc100488540.L,38.01777,4.447484,0.0,0.0
0,id3.L,37.90193,3.3123965,0.0,0.0
0,loc100491788.S,37.893223,4.184331,0.0,0.0
0,lima1.S,37.840645,3.2530236,0.0,0.0
0,cldn6.1.S,37.812263,4.8168874,0.0,0.0
0,zfp36.S,37.556908,2.7036018,1.086711501411064e-308,3.842553127827283e-306
0,tmsb4x.L,37.411606,3.5208335,2.530453640991195e-306,8.828246662690082e-304
0,egr1.S,37.384857,2.9061213,6.88626218972048e-306,2.3708675849503436e-303
0,ifitm3.S,37.125,2.8286285,1.1101942952971925e-301,3.772642068928096e-299
0,Xelaev18043710m.g,37.101524,2.0208359,2.654791520192674e-301,8.905804476584809e-299
