group,names,scores,logfoldchanges,pvals,pvals_adj
0,hbg2.L,47.72796,6.0212207,0.0,0.0
0,Xelaev18045099m.g,42.998478,4.901763,0.0,0.0
0,Xelaev18002241m.g,42.95813,4.284642,0.0,0.0
0,Xelaev18047455m.g,42.660275,4.677187,0.0,0.0
0,hbd.S,42.583298,4.689685,0.0,0.0
0,Xelaev18045098m.g,42.56273,4.817051,0.0,0.0
0,Xelaev18047463m.g,42.010574,3.4466107,0.0,0.0
0,Xelaev18047462m.g,41.653072,4.218338,0.0,0.0
0,ca2.L,41.504433,3.943774,0.0,0.0
0,alas2.S,40.390385,2.8215468,0.0,0.0
0,nmrk2.L,40.26149,2.8291204,0.0,0.0
0,Xelaev18047464m.g,39.721752,4.8060803,0.0,0.0
0,nmrk2.S,38.320786,1.6602881,0.0,0.0
0,rfesd.L,38.051197,2.692346,0.0,0.0
0,prdx2.L,37.637714,3.295393,5.1972885252944e-310,5.036750057513103e-307
0,hbd.L,37.52502,4.3614554,3.600411950542661e-308,3.364584967782117e-305
0,adal.L,36.328857,2.4409373,5.668924712624241e-289,4.784938194533094e-286
0,blvrb.L,35.604767,2.212091,1.1821707120040867e-277,7.931456115461265e-275
0,lmo2.S,35.03829,2.3605978,5.87983293067679e-269,3.66313591581164e-266
0,mthfd2.L,34.691254,2.0844903,1.0674227376716595e-263,6.071778989981879e-261
0,Xelaev18002242m.g,34.450768,2.47624,4.385459307449686e-260,2.2949985647745695e-257
0,Xelaev18045096m.g,34.278572,4.3118987,1.637045476314797e-257,8.237486910240958e-255
0,Xelaev18036119m.g,34.18516,2.006733,4.017452828255669e-256,1.983408881210148e-253
0,Xelaev18045084m.g,34.18029,4.4131575,4.746109244315862e-256,2.2997536016068303e-253
0,fam132b.L,33.810917,2.2126853,1.3631093348744093e-250,6.369128367200678e-248
0,Xelaev18035533m.g,33.73599,2.3400958,1.7160072418172556e-249,7.877376401647424e-247
0,rhd.S,33.701645,2.2034585,5.468666967449128e-249,2.4671231012116185e-246
0,slc4a1.L,33.373436,2.2922885,3.330825451148477e-244,1.428760307454935e-241
0,MGC86526.S,33.154774,2.2383058,4.833447637662481e-241,2.0398708207592982e-238
0,Xelaev18047460m.g,33.127842,3.3632119,1.181066546029673e-240,4.905363054509909e-238
0,nt5dc4.L,32.89299,2.2029517,2.768636948335805e-237,1.1145254521562258e-234
0,Xelaev18045083m.g,32.49829,4.4852896,1.1272823642665204e-231,4.213781477628253e-229
0,tmem38a.L,32.236652,2.3966324,5.412343767721053e-228,1.9137755003539063e-225
0,slc39a8.L,32.129063,2.113595,1.732074619370926e-226,5.963350590849955e-224
0,Xelaev18045095m.g,31.839863,3.4468756,1.8183893582507095e-222,6.02278176556811e-220
0,slc30a1.L,31.833523,1.8437552,2.2256233567412766e-222,7.27945759406153e-220
0,unnamed.L.8,30.948124,2.4520607,2.692718619676913e-210,7.916592741850124e-208
0,gpx3.S,30.737844,1.7906704,1.7774947641823278e-207,5.167769777732754e-205
0,sptb.L,30.297049,1.8933885,1.2537182015641998e-201,3.3819371610442116e-199
0,urod.L,30.076124,1.9048262,9.946258841807755e-199,2.602538088547417e-196
0,gpx1.L,29.695436,1.7771604,8.794347160603741e-194,2.256008703964289e-191
0,ncoa4.L,28.349585,1.5832338,8.469447645380393e-177,1.8315005544547385e-174
0,slc39a8.S,27.9,1.7442178,2.6681372867776897e-171,5.370344634294232e-169
0,MGC75752.L,27.179815,1.5710909,1.1252523030002015e-162,2.0589756475736557e-160
0,loc100498230.S,26.992659,1.7360867,1.802342687254599e-160,3.2081699833131865e-158
0,adck3.S,26.313242,2.1973982,1.3529542517997588e-152,2.2548663027128974e-150
0,ctsv.L,25.84606,1.278817,2.6943031497681836e-147,4.2469359166767646e-145
0,frrs1.L,25.38826,1.7380085,3.399403294221796e-142,4.914297602022514e-140
0,Xelaev18000860m.g,25.167782,1.8820632,9.028204544267164e-140,1.2632727278358e-137
0,Xelaev18037841m.g,25.164753,1.1720433,9.744720244737545e-140,1.3562784570415032e-137
0,sod2.S,25.069397,1.408497,1.0729398513104107e-138,1.4622158411139691e-136
0,grk4.S,24.658712,1.6992803,2.967737782436134e-134,3.863374468419099e-132
0,prdx3.S,24.620502,1.3155737,7.620264840224639e-134,9.726431698015509e-132
0,Xelaev18036120m.g,24.606586,1.4115353,1.0739202325686171e-133,1.3574643884926615e-131
0,tmem37.L,24.606392,2.433493,1.0790819873365191e-133,1.3574643884926615e-131
0,txnip.L,23.917202,1.6351521,2.0285187379630665e-126,2.369563450783107e-124
0,c20orf27.L,23.72154,1.4125729,2.1616628571454877e-124,2.469959402623093e-122
0,Xelaev18045082m.g,23.020988,0.7684428,2.8732179404592442e-117,3.0685967604104727e-115
0,Xelaev18001852m.g,23.001976,1.9031531,4.453723387034282e-117,4.718061787252592e-115
0,ip6k2.S,22.9964,1.5354576,5.064298469372515e-117,5.343243296354888e-115
0,gsta1.S,22.622982,1.2438334,2.574730195565021e-113,2.5911688575828594e-111
0,snx22.S,22.612709,1.98977,3.2497057329209927e-113,3.2579233796019424e-111
0,Xelaev18037839m.g,22.168858,2.4662297,6.863125757195618e-109,6.554034619079582e-107
0,cfb.L,21.949331,1.4496735,8.788392610552076e-107,8.183526015932586e-105
0,fam210b.S,21.944403,1.5125313,9.794786700157586e-107,9.088311659444092e-105
0,tmem14c.L,21.854733,0.94894034,7.00796065555058e-106,6.34499302813621e-104
0,gpx1.S,21.807318,1.8252484,1.9773261407834693e-105,1.771873828758228e-103
0,raver2.L,21.440128,1.7676667,5.645682007346383e-102,4.843439849318868e-100
0,cd38.L,21.403633,1.6407317,1.2359137914708405e-101,1.0533850250041045e-99
0,dkc1.L,21.255547,1.0986426,2.9292583265995253e-100,2.456633761980871e-98
0,edaradd.L,21.229677,1.4033186,5.081035388879903e-100,4.220646729696239e-98
0,loc100489623.L,21.045456,1.5578679,2.516872209696261e-98,2.0452322434444836e-96
0,mapt.S,20.96952,1.3228048,1.245111472001029e-97,1.0055428017400901e-95
0,urod.S,20.73507,1.2368184,1.6721271623000576e-95,1.3099664469683624e-93
0,eif3m.S,20.610413,0.94478786,2.2134010013065703e-94,1.6984120410612234e-92
0,bhmt.L,20.58469,1.5714685,3.7643275032102253e-94,2.863296321191824e-92
0,steap3.L,20.54568,1.4321446,8.412810533069529e-94,6.325563230123485e-92
0,Xelaev18047452m.g,20.284546,0.71595615,1.760838624666732e-91,1.2762909543775543e-89
0,loc100496873.L,20.198717,2.2333393,1.0047223160548689e-90,7.222407725794422e-89
0,MGC75752.S,20.167624,1.1310248,1.884798779354085e-90,1.3438050370729968e-88
0,btbd2.S,20.077654,1.6019636,1.1573521752559162e-89,8.206850140310651e-88
0,ppox.L,20.058468,1.5741482,1.7025047402786654e-89,1.200747682860689e-87
0,nmral1.S,20.02381,1.7663606,3.415781457467914e-89,2.4026166025834794e-87
0,Xelaev18045100m.g,19.61038,2.0452695,1.260836970880339e-85,8.459246200014091e-84
0,naa10.S,19.485338,0.9713534,1.4620957349152619e-84,9.685366329061453e-83
0,add2.S,19.268015,1.641014,9.968628560390577e-83,6.424609234265513e-81
